name,hostname,IC,disposition,period,rade,rade_est,rade_err1,rade_err2,radj,radj_est,radj_err1,radj_err2,masse,masse_est,masse_err1,masse_err2,massj,massj_est,massj_err1,massj_err2,tran_depth_ppm,tran_dur_hr,semi_au,eccen,insol,distance_pc,year_discovered,year_confirmed,discoverymethod,facility,st_mass,st_rad,st_teff,st_log_lum,Jmag,Kmag,ra,dec,flag_tran,flag_kepler,flag_k2,url
TOI-5256.01,TIC 356146869,356146869.0,Candidate,21.1968768,6.848476752523809,,,,0.610981222728027,,,,,37.645351036373896,,,,0.11844552046092863,,,6630.0,4.228,0.1397277847024183,,19.23399870248784,352.109,2022,,Transit,TESS,0.81,0.838633,4934.0,-0.4253648703103175,12.254,11.66,266.3360833333333,52.475175,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=356146869
TOI-5259.01,TIC 375419034,375419034.0,Candidate,3.0321361,12.474635363207547,,,,1.1129143374094173,,,,,3157.6705704949613,,,,9.93514269013067,,,13790.0,2.078,0.04270366263537,,747.2508696247797,487.68,2022,,Transit,TESS,1.13,1.05519,6071.0,0.13439668007386252,12.19,11.719,294.0652083333333,21.794675,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=375419034
TOI-5263.01,TIC 275527293,275527293.0,Candidate,3.1501356,20.366300882692304,,,,1.8169627882826023,,,,,52562.03126640435,,,,165.37864512984356,,,16270.0,2.201,0.04328142144488507,,1466.0148966421095,836.02,2022,,Transit,TESS,1.09,1.55951,5950.0,0.4387414141242457,12.293,11.931,304.7025833333333,41.97051666666667,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=275527293
TOI-5264.01,TIC 435719275,435719275.0,Candidate,4.4274169,19.9674273234375,,0.989748974671875,-0.989748974671875,1.7813776116434947,,0.08829964101374539,-0.08829964101374539,,51395.110894853344,,,,161.70710304191692,,,10600.0,5.435,0.05999926185839044,,1993.2265424799386,673.959,2022,,Transit,TESS,1.47,1.92321,6812.0,0.8558484767572778,11.259,10.964,297.55208333333326,27.48104722222222,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=435719275
TOI-5265.01,TIC 219847787,219847787.0,Candidate,11.5914514,3.1633609312962965,,0.22857400948148146,-0.22857400948148146,0.28221664460220597,,0.020392042324649428,-0.020392042324649428,,10.143663085380485,,,,0.031915533271752686,,,832.0,1.968,0.10252418413108022,,120.44094741960026,301.885,2022,,Transit,TESS,1.07,1.07833,5896.0,0.10242680699934778,10.836,10.497,255.60345833333332,69.10966388888889,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=219847787
TOI-5267.01,TIC 153971295,153971295.0,Candidate,13.7036806,2.831943014137931,,0.2800903899448276,-0.2800903899448276,0.252649467611385,,0.02498803385143939,-0.02498803385143939,,8.406044752538387,,,,0.026448374588677277,,,1020.0,4.766,0.1113200417734817,,52.39427039748373,273.233,2022,,Transit,TESS,0.98,0.872787,5546.0,-0.1875694816501447,11.228,10.817,202.07191666666665,70.41603611111111,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=153971295
TOI-5269.01,TIC 359321688,359321688.0,Candidate,2.7340756,9.469034516533332,,0.7150236972533333,-0.7150236972533333,0.8447721290480229,,0.06379025126519729,-0.06379025126519729,,65.25453443404639,,,,0.20531372614929672,,,1700.0,1.994,0.049157767362427905,,10003.945265584402,656.146,2022,,Transit,TESS,2.12,2.25447,8524.0,1.383355606843085,10.77,10.465,291.2195833333333,22.124658333333333,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=359321688
TOI-5270.01,TIC 424112727,424112727.0,Candidate,1.0513177,16.154725216666662,,0.9045580879999998,-0.9045580879999998,1.4412305279530808,,0.08069940610240026,-0.08069940610240026,,40408.19380606932,,,,127.13839596345998,,,5720.0,2.562,0.024337665465772977,,24143.836051900438,1229.65,2022,,Transit,TESS,1.74,2.22259,7529.0,1.1553641077739478,12.157,11.932,300.06691666666666,22.162094444444442,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=424112727
TOI-5271.01,TIC 296461391,296461391.0,Candidate,4.3108587,4.497006970212766,,,,0.4011967794538416,,,,,18.432099491772124,,,,0.05799387062113206,,,1020.0,3.486,,,836.11,295.41,2022,,Transit,TESS,,1.4061,6358.0,0.46400922110893533,10.144,9.795,306.98479166666664,48.31859722222222,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=296461391
TOI-5272.01,TIC 278668358,278668358.0,Candidate,5.0135727,9.220654,,2.5186222543589745,-2.5186222543589745,0.8226130654814525,,0.2246968136368681,-0.2246968136368681,,62.37512353878736,,,,0.19625408630743976,,,3520.0,4.396,0.05881832418113964,,788.182537402285,612.204,2022,,Transit,TESS,1.08,1.56448,5930.0,0.43565210195675574,11.781,11.334,307.95270833333325,48.23215277777778,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=278668358
